ticker,ticker_yahoo,exchange,name
ABLLL,ABLLL,NASDAQ,"Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028"
ABLV,ABLV,NASDAQ,Able View Global Inc. - Class B Ordinary Shares
ABLVW,ABLVW,NASDAQ,Able View Global Inc. - Warrant
ABNB,ABNB,NASDAQ,"Airbnb, Inc. - Class A Common Stock"
ABNG,ABNG,NASDAQ,Leverage Shares 2x Long ABNB Daily ETF
ABOS,ABOS,NASDAQ,"Acumen Pharmaceuticals, Inc. - Common Stock"
ABP,ABP,NASDAQ,"Abpro Holdings, Inc - Common Stock"
ABPWW,ABPWW,NASDAQ,"Abpro Holdings, Inc - Warrant"
ABSI,ABSI,NASDAQ,Absci Corporation - Common Stock
ABTC,ABTC,NASDAQ,American Bitcoin Corp. - Class A Common Stock
ABTS,ABTS,NASDAQ,Abits Group Inc - Ordinary Shares
ABUS,ABUS,NASDAQ,Arbutus Biopharma Corporation - Common Stock
ABVC,ABVC,NASDAQ,"ABVC BioPharma, Inc. - Common Stock"
ABVE,ABVE,NASDAQ,Above Food Ingredients Inc. - Common Stock
ABVEW,ABVEW,NASDAQ,Above Food Ingredients Inc. - Warrant
ABVX,ABVX,NASDAQ,Abivax SA - American Depositary Shares
ACAD,ACAD,NASDAQ,ACADIA Pharmaceuticals Inc. - Common Stock
ACB,ACB,NASDAQ,Aurora Cannabis Inc. - Common Shares
ACCL,ACCL,NASDAQ,Acco Group Holdings Limited - Ordinary Shares
ACDC,ACDC,NASDAQ,ProFrac Holding Corp. - Class A Common Stock
ACEP,ACEP,NASDAQ,ARS Core Equity Portfolio ETF
ACET,ACET,NASDAQ,"Adicet Bio, Inc. - Common Stock"
ACFN,ACFN,NASDAQ,"Acorn Energy, Inc. - Common Stock"
ACGL,ACGL,NASDAQ,Arch Capital Group Ltd. - Common Stock
ACGLN,ACGLN,NASDAQ,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G"
ACGLO,ACGLO,NASDAQ,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F"
ACHC,ACHC,NASDAQ,"Acadia Healthcare Company, Inc. - Common Stock"
ACHV,ACHV,NASDAQ,"Achieve Life Sciences, Inc.  - Common Shares"
ACIC,ACIC,NASDAQ,American Coastal Insurance Corporation - Common Stock
ACIU,ACIU,NASDAQ,AC Immune SA - Common Stock
ACIW,ACIW,NASDAQ,"ACI Worldwide, Inc. - Common Stock"
ACLS,ACLS,NASDAQ,"Axcelis Technologies, Inc. - Common Stock"
ACLX,ACLX,NASDAQ,"Arcellx, Inc. - Common Stock"
ACMR,ACMR,NASDAQ,"ACM Research, Inc. - Class A Common Stock"
ACNB,ACNB,NASDAQ,ACNB Corporation - Common Stock
ACNT,ACNT,NASDAQ,Ascent Industries Co. - Common Stock
ACOG,ACOG,NASDAQ,Alpha Cognition Inc. - Common Stock
ACON,ACON,NASDAQ,"Aclarion, Inc. - Common Stock"
ACONW,ACONW,NASDAQ,"Aclarion, Inc. - Warrant"
ACRS,ACRS,NASDAQ,"Aclaris Therapeutics, Inc. - Common Stock"
ACRV,ACRV,NASDAQ,"Acrivon Therapeutics, Inc. - Common Stock"
ACT,ACT,NASDAQ,"Enact Holdings, Inc. - Common Stock"
ACTG,ACTG,NASDAQ,Acacia Research Corporation - Common Stock
ACTU,ACTU,NASDAQ,"Actuate Therapeutics, Inc. - Common stock"
ACWI,ACWI,NASDAQ,iShares MSCI ACWI ETF
ACWX,ACWX,NASDAQ,iShares MSCI ACWI ex U.S. ETF
ACXP,ACXP,NASDAQ,"Acurx Pharmaceuticals, Inc. - Common Stock"
ADACU,ADACU,NASDAQ,American Drive Acquisition Company - Units
ADAG,ADAG,NASDAQ,"Adagene Inc. - ADS, each representing 1.25 ordinary shares"
ADAM,ADAM,NASDAQ,"Adamas Trust, Inc. - Common Stock"
ADAMG,ADAMG,NASDAQ,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030"
ADAMH,ADAMH,NASDAQ,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030"
ADAMI,ADAMI,NASDAQ,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029"
ADAML,ADAML,NASDAQ,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share"
ADAMM,ADAMM,NASDAQ,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
ADAMN,ADAMN,NASDAQ,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
ADAMZ,ADAMZ,NASDAQ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share"
ADBE,ADBE,NASDAQ,Adobe Inc. - Common Stock
ADBG,ADBG,NASDAQ,Leverage Shares 2X Long ADBE Daily ETF
ADEA,ADEA,NASDAQ,Adeia Inc.  - Common Stock
ADGM,ADGM,NASDAQ,"Adagio Medical Holdings, Inc - Common Stock"
ADI,ADI,NASDAQ,"Analog Devices, Inc. - Common Stock"
ADIL,ADIL,NASDAQ,"Adial Pharmaceuticals, Inc - Common Stock"
ADMA,ADMA,NASDAQ,ADMA Biologics Inc - Common Stock
ADP,ADP,NASDAQ,"Automatic Data Processing, Inc. - Common Stock"
ADPT,ADPT,NASDAQ,Adaptive Biotechnologies Corporation - Common Stock
ADSE,ADSE,NASDAQ,ADS-TEC ENERGY PLC - Ordinary Shares
ADSEW,ADSEW,NASDAQ,ADS-TEC ENERGY PLC - Warrant
ADSK,ADSK,NASDAQ,"Autodesk, Inc. - Common Stock"
ADTN,ADTN,NASDAQ,"ADTRAN Holdings, Inc. - Common Stock"
ADTX,ADTX,NASDAQ,"Aditxt, Inc. - Common Stock"
ADUR,ADUR,NASDAQ,Aduro Clean Technologies Inc. - Common Stock
ADUS,ADUS,NASDAQ,Addus HomeCare Corporation - Common Stock
ADV,ADV,NASDAQ,Advantage Solutions Inc.  - Class A Common Stock
ADVB,ADVB,NASDAQ,Advanced Biomed Inc. - Common Stock
ADXN,ADXN,NASDAQ,Addex Therapeutics Ltd - American Depositary Shares
AEAQU,AEAQU,NASDAQ,Activate Energy Acquisition Corp. - Unit
AEBI,AEBI,NASDAQ,Aebi Schmidt Holding AG - Common Stock
AEC,AEC,NASDAQ,Anfield Energy Inc. - Common Shares
AEHL,AEHL,NASDAQ,Antelope Enterprise Holdings Limited - Class A Ordinary Shares
AEHR,AEHR,NASDAQ,Aehr Test Systems - Common Stock
AEI,AEI,NASDAQ,Alset Inc. - Common Stock
AEIS,AEIS,NASDAQ,"Advanced Energy Industries, Inc. - Common Stock"
AEMD,AEMD,NASDAQ,"Aethlon Medical, Inc. - Common Stock"
AENT,AENT,NASDAQ,Alliance Entertainment Holding Corporation - common stock
AENTW,AENTW,NASDAQ,Alliance Entertainment Holding Corporation - Warrants
AEP,AEP,NASDAQ,"American Electric Power Company, Inc. - Common Stock"
AERT,AERT,NASDAQ,"Aeries Technology, Inc. - Class A Ordinary Share"
AERTW,AERTW,NASDAQ,"Aeries Technology, Inc. - Warrant"
AEVA,AEVA,NASDAQ,"Aeva Technologies, Inc. - Common Stock"
AEVAW,AEVAW,NASDAQ,"Aeva Technologies, Inc. - Redeemable Warrants"
AEYE,AEYE,NASDAQ,"AudioEye, Inc. - Common Stock"
AFBI,AFBI,NASDAQ,"Affinity Bancshares, Inc. - Common Stock"
AFCG,AFCG,NASDAQ,Advanced Flower Capital Inc. - Common Stock
AFJK,AFJK,NASDAQ,"Aimei Health Technology Co., Ltd - Ordinary Share"
AFJKR,AFJKR,NASDAQ,"Aimei Health Technology Co., Ltd - Right"
AFJKU,AFJKU,NASDAQ,"Aimei Health Technology Co., Ltd - Unit"
AFOS,AFOS,NASDAQ,ARS Focused Opportunity Strategy ETF
AFRI,AFRI,NASDAQ,Forafric Global PLC - Ordinary Shares
AFRIW,AFRIW,NASDAQ,Forafric Global PLC - Warrants
AFRM,AFRM,NASDAQ,"Affirm Holdings, Inc. - Class A Common Stock"
AFSC,AFSC,NASDAQ,abrdn Focused U.S. Small Cap Active ETF
AFYA,AFYA,NASDAQ,Afya Limited - Class A Common Shares
AGAE,AGAE,NASDAQ,Allied Gaming & Entertainment Inc. - Common Stock
AGCC,AGCC,NASDAQ,Agencia Comercial Spirits Ltd - Class A Ordinary Share
AGEM,AGEM,NASDAQ,abrdn Emerging Markets Dividend Active ETF
AGEN,AGEN,NASDAQ,Agenus Inc. - Common Stock
AGGA,AGGA,NASDAQ,EA Astoria Dynamic Core US Fixed Income ETF
AGH,AGH,NASDAQ,Aureus Greenway Holdings Inc. - Common Stock
AGIO,AGIO,NASDAQ,"Agios Pharmaceuticals, Inc. - Common Stock"
AGIX,AGIX,NASDAQ,KraneShares Artificial Intelligence & Technology ETF
AGMH,AGMH,NASDAQ,AGM Group Holdings Inc. - Class A Ordinary Shares
AGMI,AGMI,NASDAQ,Themes Silver Miners ETF
AGNC,AGNC,NASDAQ,AGNC Investment Corp. - Common Stock
AGNCL,AGNCL,NASDAQ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock"
AGNCM,AGNCM,NASDAQ,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,AGNCN,NASDAQ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock"
AGNCO,AGNCO,NASDAQ,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock"
AGNCP,AGNCP,NASDAQ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
AGNCZ,AGNCZ,NASDAQ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock"
AGNG,AGNG,NASDAQ,Global X Aging Population ETF
AGPU,AGPU,NASDAQ,Axe Compute Inc. - Common Stock
AGRZ,AGRZ,NASDAQ,Agroz Inc. - Ordinary Shares
AGYS,AGYS,NASDAQ,"Agilysys, Inc. - Common Stock"
AGZD,AGZD,NASDAQ,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHCO,AHCO,NASDAQ,AdaptHealth Corp.  - Common Stock
AHG,AHG,NASDAQ,Akso Health Group - American Depositary Shares
AHMA,AHMA,NASDAQ,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares
AIA,AIA,NASDAQ,iShares Asia 50 ETF
AIFD,AIFD,NASDAQ,TCW Artificial Intelligence ETF
AIFF,AIFF,NASDAQ,"Firefly Neuroscience, Inc.  - Common Stock"
AIFU,AIFU,NASDAQ,AIFU Inc. - Class A Ordinary Share
AIHS,AIHS,NASDAQ,Senmiao Technology Limited - Common Stock
AIIO,AIIO,NASDAQ,Robo.ai Inc. - Class B Ordinary Shares
AIIOW,AIIOW,NASDAQ,Robo.ai Inc. - Warrant
AIMD,AIMD,NASDAQ,"Ainos, Inc. - Common Stock"
AIMDW,AIMDW,NASDAQ,"Ainos, Inc. - warrants"
AIOT,AIOT,NASDAQ,"PowerFleet, Inc. - Common Stock"
AIP,AIP,NASDAQ,"Arteris, Inc.  - Common Stock"
AIPI,AIPI,NASDAQ,REX AI Equity Premium Income ETF
AIPO,AIPO,NASDAQ,Defiance AI & Power Infrastructure ETF
AIQ,AIQ,NASDAQ,Global X Artificial Intelligence & Technology ETF
AIRE,AIRE,NASDAQ,reAlpha Tech Corp. - Common Stock
AIRG,AIRG,NASDAQ,"Airgain, Inc. - Common Stock"
AIRJ,AIRJ,NASDAQ,AirJoule Technologies Corporation - Class A Common Stock
AIRJW,AIRJW,NASDAQ,AirJoule Technologies Corporation - Warrant
AIRO,AIRO,NASDAQ,"AIRO Group Holdings, Inc. - Common Stock"
AIRR,AIRR,NASDAQ,First Trust RBA American Industrial Renaissance ETF
AIRS,AIRS,NASDAQ,"AirSculpt Technologies, Inc. - Common Stock"
AIRT,AIRT,NASDAQ,"Air T, Inc. - Common Stock"
AIRTP,AIRTP,NASDAQ,"Air T, Inc. - Trust Preferred Securities"
AISP,AISP,NASDAQ,"Airship AI Holdings, Inc - Class A Common Stock"
AISPW,AISPW,NASDAQ,"Airship AI Holdings, Inc - Warrants"
AIXC,AIXC,NASDAQ,"AIxCrypto Holdings, Inc. - Common Stock"
AIXI,AIXI,NASDAQ,XIAO-I Corporation - American Depositary Shares
AKAM,AKAM,NASDAQ,"Akamai Technologies, Inc. - Common Stock"
AKAN,AKAN,NASDAQ,Akanda Corp. - Common Shares
AKBA,AKBA,NASDAQ,"Akebia Therapeutics, Inc. - Common Stock"
AKTX,AKTX,NASDAQ,Akari Therapeutics Plc - American Depositary Shares
ALAB,ALAB,NASDAQ,"Astera Labs, Inc. - Common Stock"
ALAR,ALAR,NASDAQ,Alarum Technologies Ltd. - American Depositary Shares
ALBT,ALBT,NASDAQ,Avalon GloboCare Corp. - Common Stock
ALCO,ALCO,NASDAQ,"Alico, Inc. - Common Stock"
ALCY,ALCY,NASDAQ,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares
ALCYU,ALCYU,NASDAQ,Alchemy Investments Acquisition Corp 1 - Units
ALCYW,ALCYW,NASDAQ,Alchemy Investments Acquisition Corp 1 - Warrants
ALDF,ALDF,NASDAQ,Aldel Financial II Inc. - Class A Ordinary Shares
ALDFU,ALDFU,NASDAQ,Aldel Financial II Inc. - Units
ALDFW,ALDFW,NASDAQ,Aldel Financial II Inc. - Warrants
ALDX,ALDX,NASDAQ,"Aldeyra Therapeutics, Inc. - Common Stock"
ALEC,ALEC,NASDAQ,"Alector, Inc. - Common Stock"
ALF,ALF,NASDAQ,Centurion Acquisition Corp. - Class A Ordinary Shares
ALFUU,ALFUU,NASDAQ,Centurion Acquisition Corp. - Unit
ALFUW,ALFUW,NASDAQ,Centurion Acquisition Corp. - Warrant
ALGM,ALGM,NASDAQ,"Allegro MicroSystems, Inc. - Common Stock"
ALGN,ALGN,NASDAQ,"Align Technology, Inc. - Common Stock"
ALGS,ALGS,NASDAQ,"Aligos Therapeutics, Inc. - Common stock"
ALGT,ALGT,NASDAQ,Allegiant Travel Company - Common Stock
ALHC,ALHC,NASDAQ,"Alignment Healthcare, Inc. - Common Stock"
ALIL,ALIL,NASDAQ,Argent Focused Small Cap ETF
ALIS,ALIS,NASDAQ,Calisa Acquisition Corp - Ordinary shares
ALISR,ALISR,NASDAQ,Calisa Acquisition Corp - Right
ALISU,ALISU,NASDAQ,Calisa Acquisition Corp - Units
ALKS,ALKS,NASDAQ,Alkermes plc - Ordinary Shares
ALKT,ALKT,NASDAQ,"Alkami Technology, Inc. - Common Stock"
ALLO,ALLO,NASDAQ,"Allogene Therapeutics, Inc. - Common Stock"
ALLR,ALLR,NASDAQ,"Allarity Therapeutics, Inc. - Common stock"
ALLT,ALLT,NASDAQ,Allot Ltd. - Ordinary Shares
ALLW,ALLW,NASDAQ,SPDR Bridgewater All Weather ETF
ALM,ALM,NASDAQ,Almonty Industries Inc. - Common Shares
ALMS,ALMS,NASDAQ,Alumis Inc. - Common Stock
ALMU,ALMU,NASDAQ,"Aeluma, Inc. - Common Stock"
ALNT,ALNT,NASDAQ,Allient Inc. - Common Stock
ALNY,ALNY,NASDAQ,"Alnylam Pharmaceuticals, Inc. - Common Stock"
ALOT,ALOT,NASDAQ,"AstroNova, Inc. - Common Stock"
ALPS,ALPS,NASDAQ,ALPS Group Inc - Ordinary Share
ALRM,ALRM,NASDAQ,"Alarm.com Holdings, Inc. - Common Stock"
ALRS,ALRS,NASDAQ,Alerus Financial Corporation - Common Stock
ALT,ALT,NASDAQ,"Altimmune, Inc. - Common Stock"
ALTI,ALTI,NASDAQ,"AlTi Global, Inc. - Class A Common Stock"
ALTO,ALTO,NASDAQ,"Alto Ingredients, Inc. - Common Stock"
ALTS,ALTS,NASDAQ,ALT5 Sigma Corporation - Common Stock
ALTY,ALTY,NASDAQ,Global X Alternative Income ETF
ALVO,ALVO,NASDAQ,Alvotech - Ordinary Shares
ALVOW,ALVOW,NASDAQ,Alvotech - Warrant
ALXO,ALXO,NASDAQ,ALX Oncology Holdings Inc. - Common Stock
ALZN,ALZN,NASDAQ,"Alzamend Neuro, Inc. - Common Stock"
AMAL,AMAL,NASDAQ,Amalgamated Financial Corp. - Common Stock
AMAT,AMAT,NASDAQ,"Applied Materials, Inc. - Common Stock"
AMBA,AMBA,NASDAQ,"Ambarella, Inc. - Ordinary Shares"
AMBR,AMBR,NASDAQ,Amber International Holding Limited - American Depositary Shares
AMCI,AMCI,NASDAQ,AMC Robotics Corporation - Common Stock
AMCX,AMCX,NASDAQ,AMC Networks Inc. - Class A Common Stock
AMD,AMD,NASDAQ,"Advanced Micro Devices, Inc. - Common Stock"
AMDD,AMDD,NASDAQ,Direxion Daily AMD Bear 1X Shares
AMDG,AMDG,NASDAQ,Leverage Shares 2X Long AMD Daily ETF
AMDL,AMDL,NASDAQ,GraniteShares 2x Long AMD Daily ETF
AMDU,AMDU,NASDAQ,Defiance Leveraged Long + Income AMD ETF
AMGN,AMGN,NASDAQ,Amgen Inc. - Common Stock
AMID,AMID,NASDAQ,Argent Mid Cap ETF
AMIX,AMIX,NASDAQ,"Autonomix Medical, Inc. - Common Stock"
AMKR,AMKR,NASDAQ,"Amkor Technology, Inc. - Common Stock"
AMLX,AMLX,NASDAQ,"Amylyx Pharmaceuticals, Inc. - Common Stock"
AMOD,AMOD,NASDAQ,"Alpha Modus Holdings, Inc. - Class A Common Stock"
AMODW,AMODW,NASDAQ,"Alpha Modus Holdings, Inc. - Warrant"
AMPG,AMPG,NASDAQ,"Amplitech Group, Inc. - Common Stock"
AMPGW,AMPGW,NASDAQ,"Amplitech Group, Inc. - Warrants"
AMPH,AMPH,NASDAQ,"Amphastar Pharmaceuticals, Inc. - Common Stock"
AMPL,AMPL,NASDAQ,"Amplitude, Inc. - Class A Common Stock"
AMRN,AMRN,NASDAQ,Amarin Corporation plc - American Depositary Shares
AMRX,AMRX,NASDAQ,"Amneal Pharmaceuticals, Inc. - Class A Common Stock"
AMSC,AMSC,NASDAQ,American Superconductor Corporation - Common Stock
AMSF,AMSF,NASDAQ,"AMERISAFE, Inc. - Common Stock"
AMST,AMST,NASDAQ,Amesite Inc. - Common Stock
AMTX,AMTX,NASDAQ,"Aemetis, Inc - Common Stock"
AMUN,AMUN,NASDAQ,abrdn Ultra Short Municipal Income Active ETF
AMUU,AMUU,NASDAQ,Direxion Daily AMD Bull 2X Shares
AMWD,AMWD,NASDAQ,American Woodmark Corporation - Common Stock
AMYY,AMYY,NASDAQ,GraniteShares YieldBOOST AMD ETF
AMZD,AMZD,NASDAQ,Direxion Daily AMZN Bear 1X Shares
AMZN,AMZN,NASDAQ,"Amazon.com, Inc. - Common Stock"
AMZU,AMZU,NASDAQ,Direxion Daily AMZN Bull 2X Shares
AMZZ,AMZZ,NASDAQ,GraniteShares 2x Long AMZN Daily ETF
ANAB,ANAB,NASDAQ,"AnaptysBio, Inc. - Common Stock"
ANDE,ANDE,NASDAQ,"The Andersons, Inc. - Common Stock"
ANEB,ANEB,NASDAQ,"Anebulo Pharmaceuticals, Inc. - Common Stock"
ANEL,ANEL,NASDAQ,Defiance Daily Target 2x Long ANET ETF
ANGH,ANGH,NASDAQ,Anghami Inc. - Ordinary Shares
ANGHW,ANGHW,NASDAQ,Anghami Inc. - Warrants
ANGI,ANGI,NASDAQ,Angi Inc. - Class A Common Stock
ANGL,ANGL,NASDAQ,VanEck Fallen Angel High Yield Bond ETF
ANGO,ANGO,NASDAQ,"AngioDynamics, Inc. - Common Stock"
ANIK,ANIK,NASDAQ,Anika Therapeutics Inc. - Common Stock
ANIP,ANIP,NASDAQ,"ANI Pharmaceuticals, Inc. - Common Stock"
ANIX,ANIX,NASDAQ,"Anixa Biosciences, Inc. - Common Stock"
ANL,ANL,NASDAQ,Adlai Nortye Ltd. - American Depositary Shares
ANNA,ANNA,NASDAQ,"AleAnna, Inc. - Class A Common Stock"
ANNAW,ANNAW,NASDAQ,"AleAnna, Inc. - Warrant"
ANNX,ANNX,NASDAQ,"Annexon, Inc. - common stock"
ANPA,ANPA,NASDAQ,Rich Sparkle Holdings Limited - Ordinary Shares
ANSC,ANSC,NASDAQ,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares
ANSCU,ANSCU,NASDAQ,Agriculture & Natural Solutions Acquisition Corporation - Unit
ANSCW,ANSCW,NASDAQ,Agriculture & Natural Solutions Acquisition Corporation - Warrant
ANTA,ANTA,NASDAQ,Antalpha Platform Holding Company - Class A Ordinary Shares
ANTX,ANTX,NASDAQ,"AN2 Therapeutics, Inc. - Common Stock"
ANY,ANY,NASDAQ,Sphere 3D Corp. - Common Shares
AOHY,AOHY,NASDAQ,Angel Oak High Yield Opportunities ETF
AOSL,AOSL,NASDAQ,Alpha and Omega Semiconductor Limited - Common Shares
AOTG,AOTG,NASDAQ,AOT Growth and Innovation ETF
AOUT,AOUT,NASDAQ,"American Outdoor Brands, Inc. - Common Stock"
APA,APA,NASDAQ,APA Corporation - Common Stock
APAC,APAC,NASDAQ,StoneBridge Acquisition II Corporation - Class A Ordinary Shares
APACR,APACR,NASDAQ,StoneBridge Acquisition II Corporation - Rights
APACU,APACU,NASDAQ,StoneBridge Acquisition II Corporation - Units
APAD,APAD,NASDAQ,A Paradise Acquisition Corp. - Class A Ordinary Shares
APADR,APADR,NASDAQ,A Paradise Acquisition Corp. - Rights
APADU,APADU,NASDAQ,A Paradise Acquisition Corp. - Unit
APEI,APEI,NASDAQ,"American Public Education, Inc. - Common Stock"
APGE,APGE,NASDAQ,"Apogee Therapeutics, Inc. - Common Stock"
API,API,NASDAQ,"Agora, Inc. - ADS"
APLD,APLD,NASDAQ,Applied Digital Corporation - Common Stock
APLM,APLM,NASDAQ,Apollomics Inc. - Class A Ordinary Shares
APLMW,APLMW,NASDAQ,Apollomics Inc. - Warrant
APLS,APLS,NASDAQ,"Apellis Pharmaceuticals, Inc. - Common Stock"
APLT,APLT,NASDAQ,"Applied Therapeutics, Inc. - Common Stock"
APM,APM,NASDAQ,Aptorum Group Limited - Class A Ordinary Shares
APOG,APOG,NASDAQ,"Apogee Enterprises, Inc. - Common Stock"
APP,APP,NASDAQ,Applovin Corporation - Class A Common Stock
APPF,APPF,NASDAQ,"AppFolio, Inc. - Class A Common Stock"
APPN,APPN,NASDAQ,Appian Corporation - Class A Common Stock
APPS,APPS,NASDAQ,"Digital Turbine, Inc. - Common Stock"
APPX,APPX,NASDAQ,Tradr 2X Long APP Daily ETF
APRE,APRE,NASDAQ,"Aprea Therapeutics, Inc. - Common Stock"
APVO,APVO,NASDAQ,Aptevo Therapeutics Inc. - Common Stock
APWC,APWC,NASDAQ,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share"
APXT,APXT,NASDAQ,Apex Treasury Corporation - Class A Ordinary Share
APXTU,APXTU,NASDAQ,Apex Treasury Corporation - Units
APXTW,APXTW,NASDAQ,Apex Treasury Corporation - Warrants
APYX,APYX,NASDAQ,Apyx Medical Corporation - Common Stock
AQB,AQB,NASDAQ,"AquaBounty Technologies, Inc. - Common Stock"
AQMS,AQMS,NASDAQ,"Aqua Metals, Inc. - Common Stock"
AQST,AQST,NASDAQ,"Aquestive Therapeutics, Inc. - Common Stock"
AQWA,AQWA,NASDAQ,Global X Clean Water ETF
ARAI,ARAI,NASDAQ,Arrive AI Inc. - Common Stock
ARAY,ARAY,NASDAQ,Accuray Incorporated - Common Stock
ARBB,ARBB,NASDAQ,ARB IOT Group Limited - Ordinary Shares
ARBE,ARBE,NASDAQ,Arbe Robotics Ltd. - Ordinary Shares
ARBEW,ARBEW,NASDAQ,Arbe Robotics Ltd. - Warrant
ARBK,ARBK,NASDAQ,Argo Blockchain plc - American Depositary Shares
ARCB,ARCB,NASDAQ,ArcBest Corporation - Common Stock
ARCC,ARCC,NASDAQ,Ares Capital Corporation - Closed End Fund
ARCT,ARCT,NASDAQ,Arcturus Therapeutics Holdings Inc. - Common Stock
ARDX,ARDX,NASDAQ,"Ardelyx, Inc. - Common Stock"
AREB,AREB,NASDAQ,"American Rebel Holdings, Inc. - Common Stock"
AREBW,AREBW,NASDAQ,"American Rebel Holdings, Inc. - warrants"
AREC,AREC,NASDAQ,American Resources Corporation - Class A Common Stock
ARGX,ARGX,NASDAQ,argenx SE - American Depositary Shares
ARHS,ARHS,NASDAQ,"Arhaus, Inc. - Class A Common Stock"
ARKO,ARKO,NASDAQ,ARKO Corp. - Common Stock
ARKR,ARKR,NASDAQ,Ark Restaurants Corp. - Common Stock
ARLP,ARLP,NASDAQ,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
ARM,ARM,NASDAQ,Arm Holdings plc - American Depositary Shares
ARMG,ARMG,NASDAQ,Leverage Shares 2X Long ARM Daily ETF
AROW,AROW,NASDAQ,Arrow Financial Corporation - Common Stock
ARQ,ARQ,NASDAQ,"Arq, Inc. - Common Stock"
ARQQ,ARQQ,NASDAQ,Arqit Quantum Inc. - Ordinary Shares
ARQQW,ARQQW,NASDAQ,Arqit Quantum Inc. - Warrants
ARQT,ARQT,NASDAQ,"Arcutis Biotherapeutics, Inc. - Common stock"
